ProjectAccession,InclusionReason
PXD020666,"Validating file peptides_lz_1_1_0.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File peptides_lz_1_1_0.mzid is schema invalid."
PXD020958,"Validating file P1-Ya110-DTASelect-filter.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File P1-Ya110-DTASelect-filter.mzid is schema invalid."
PXD023525,"Validating file E1aE2oDSBU.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File E1aE2oDSBU.mzid is schema invalid."
PXD024065,"Validating file S282Bpa_Trp-AspN_Xlink1__F002059_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File S282Bpa_Trp-AspN_Xlink1__F002059_.mzid is schema invalid."
PXD024253,Validating file 117-pDSBE-BSA2.mzid. | No schema location found in the XML document. | File 117-pDSBE-BSA2.mzid is schema invalid.
PXD024373,"Validating file 2018_7_52_30_AM_File_Size__774968583__Byte___F022342_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 2018_7_52_30_AM_File_Size__774968583__Byte___F022342_.mzid is schema invalid."
PXD026101,"Validating file 22RV1_mTOR_Veh_Rep1.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 22RV1_mTOR_Veh_Rep1.mzid is schema invalid."
PXD026674,"Validating file 2020-05-30-yj-140min-200nl-Yan-Xue-Steve-Jacobsen-3-MORC7-antiFLAG-1-B.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 2020-05-30-yj-140min-200nl-Yan-Xue-Steve-Jacobsen-3-MORC7-antiFLAG-1-B.mzid ..."
PXD026829,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'accession' is required but missing., Line: 15917 | Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'name' is required but missing., Line: 15917 | File BphP_dimer_DSP.mzid is schema inva..."
PXD027149,"Validating file 26_V10.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 26_V10.mzid is schema invalid."
PXD028919,"Validating file 20190717_nst9054_19-1819_Troyanovsky_01__F024467_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20190717_nst9054_19-1819_Troyanovsky_01__F024467_.mzid is schema invalid."
PXD031159,Validating file 20200112_MBPZ_E24B3_E25Q_AFFI_4A7K8Q.mzid. | No schema location found in the XML document. | File 20200112_MBPZ_E24B3_E25Q_AFFI_4A7K8Q.mzid is schema invalid.
PXD031385,"Validating file MSB51071A__F172197_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File MSB51071A__F172197_.mzid is schema invalid."
PXD033175,"Validating file 04122018_Gavis_YP_285_egfp_glo_unXlink.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 04122018_Gavis_YP_285_egfp_glo_unXlink.mzid is schema invalid."
PXD033615,"File ""src/lxml/parser.pxi"", line 672, in lxml.etree._raiseParseError | File ""549255_KDM2_BioTAP.mzid"", line 14340 | lxml.etree.XMLSyntaxError: attributes construct error, line 14340, column 168"
PXD038128,"Validating file 190627_VLopez_Khavari_9923_PR1_VLP_PBS_m1.raw_20190702_Byonic.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 190627_VLopez_Khavari_9923_PR1_VLP_PBS_m1.raw_20190702_Byonic.mzid is schema invalid."
PXD041334,"File ""src/lxml/parser.pxi"", line 672, in lxml.etree._raiseParseError | File ""560151_293_Myc_CBioTAP_IP.mzid"", line 13600 | lxml.etree.XMLSyntaxError: attributes construct error, line 13600, column 164"
PXD046895,"Validating file R545-Xlink_Craig_F020244.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File R545-Xlink_Craig_F020244.mzid is schema invalid."
PXD051423,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing., Line: 10152 | Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'accession' is required but missing., Line: 10152 | File E240411_AMC_Mart_LDLandLDLR_Sulfo..."
PXD051588,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing., Line: 8279 | Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'accession' is required but missing., Line: 8279 | File E240418_AMC_Mart_LDLandLDLR_SulfoSD..."
